question,answer,q_len,q_bin,gen_naive_k1_all-MiniLM-L6-v2,gen_cot_k1_all-MiniLM-L6-v2,gen_persona_k1_all-MiniLM-L6-v2,gen_naive_k3_all-MiniLM-L6-v2,gen_cot_k3_all-MiniLM-L6-v2,gen_persona_k3_all-MiniLM-L6-v2,gen_naive_k5_all-MiniLM-L6-v2,gen_cot_k5_all-MiniLM-L6-v2,gen_persona_k5_all-MiniLM-L6-v2,gen_naive_k1_all-mpnet-base-v2,gen_cot_k1_all-mpnet-base-v2,gen_persona_k1_all-mpnet-base-v2,gen_naive_k3_all-mpnet-base-v2,gen_cot_k3_all-mpnet-base-v2,gen_persona_k3_all-mpnet-base-v2,gen_naive_k5_all-mpnet-base-v2,gen_cot_k5_all-mpnet-base-v2,gen_persona_k5_all-mpnet-base-v2,contexts
What are dark leopards known as colloquially?,Black Panthers,7,short,black panthers,Black panthers.,black panthers,Black Panthers,Black Panthers.,Black Panthers.,Black Panthers,Black Panthers.,Black Panthers.,Black Panthers,Black Panthers.,Black Panthers,Black Panthers,Black Panthers.,Black Panthers.,Black Panthers,Black Panthers.,Black Panthers.,"{'passage': 'A melanistic morph of the leopard occurs particularly in mountainous areas and rain forests. The black color is heritable and caused by only one recessive gene locus. In some regions, for example on the Malayan Peninsula, up to half of all leopards are black. In Africa black leopards seem to be most common in the Ethiopian Highlands. While they are commonly called black panthers, the term is not applied exclusively to leopards. Black leopards are less successful on the African plains because their colouration makes them stand out.', 'id': 2456}"
Is Liechtenstein heavily urbanized?,No.,4,short,not,It is not heavily urbanized.,It is not heavily urbanized.,not,It is not heavily urbanized.,It is not heavily urbanized.,not,It is not heavily urbanized.,It is not heavily urbanized.,"Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks. Foreign-born people make up two-thirds of the country's workforce. Nationals are referred to by the plural: Liechtensteiners.""",Final Answer: No.,"Its population is primarily ethnic Alemannic, although its resident population is approximately one third foreign-born, primarily German speakers from the Federal Republic of Germany, Austria, and the Swiss Confederation, other Swiss, Italians, and Turks.","Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The GDP (PPP) is $1.786 billion CIA World Factbook ( link) and $25,000 per person","The country is a member of the European Economic Area. Since 2002, Liechtenstein's rate of unemployment has doubled, although it stood at only 2.2% in the third quarter of 2004. Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz. The answer: no.","Currently, there is only one hospital in Liechtenstein, the Liechtensteinisches Landesspital in Vaduz.",not,It is not heavily urbanized.,It is not heavily urbanized.,"{'passage': 'The Principality of Liechtenstein (  ( , ( ) is a tiny, doubly landlocked alpine country in Western Europe, bordered by Switzerland to its west and by Austria to its east. Mountainous, it is a winter sports resort, although it is perhaps best known as a tax haven. Despite this, it is not heavily urbanized. Many cultivated fields and small farms characterize its landscape both in the north (Unterland) and in the south (Oberland). It is the smallest German-speaking country in the world.', 'id': 2817}"
When did he become a professor?,1820,6,short,1833,In 1833.,1833,1833,In 1833.,1833,1833,1833.,1833,1880,1880.,1880,1833,1833.,1833,1820,In 1820.,1820,"{'passage': 'He was elected a member of the Royal Society in 1824, appointed director of the laboratory in 1825; and in 1833 he was appointed Fullerian professor of chemistry in the institution for life, without the obligation to deliver lectures.', 'id': 86}"
Can otters survive in cold water?,yes,6,short,Otters do not depend on their specialized fur alone for survival in the cold waters where many live,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. The final answer: no.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. The final answer: no.,They do not depend on their specialized fur alone for survival in the cold waters where many live.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. In water as warm as 10°C an otter needs to catch 100 g of fish per hour to survive. In water as warm as 10°C an otter needs to catch 100 g of fish per hour to survive. In water as warm as 10°C an otter needs to catch 100 g of fish per hour to survive. In water as warm as 10°C an otter needs to catch 100 g of fish per hour to survive.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. The final answer: no.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. The final answer: no.,They do not depend on their specialized fur alone for survival in the cold waters where many live.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates.,Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. The final answer: no.,They do not depend on their specialized fur alone for survival in the cold waters where many live.,"{'passage': 'Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. For example Eurasian otters must eat 15% of their body-weight a day, and sea otters, 20 to 25%, depending on the temperature. In water as warm as 10Â°C an otter needs to catch 100 g of fish per hour to survive.  Most species hunt for 3 to 5 hours a day, and nursing mothers up to 8 hours a day.', 'id': 1917}"
Did his mother die of pneumonia?,no,6,short,tuberculosis,"The cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. The answer: no.","No, she died of pneumonia.",Theodore Roosevelt's mother Mittie died of Typhoid fever,"Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884. Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884. Theodore Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory. The final answer: no.",No.,Mittie died of Typhoid fever,"Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884. After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory. Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884. After the simultaneous deaths of his mother and wife, Roosevelt left his daughter in the care of his sister in New York and moved out to Dakota Territory.",No.,no,The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true.,"No, she died of a stroke.",a stroke,The following is the cause of his death: pneumonia.,"No, she died of a stroke.",a coronary embolism,The following is the cause of Roosevelt's death: coronary embolism.,No.,"{'passage': 'An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain. Despite the autopsy, the cause of his continual poor health was never precisely determined, though speculation focuses on tuberculosis, stomach cancer, or a combination of the two. Muir, 103.  The headaches which afflicted Pascal are generally attributed to his brain lesion.', 'id': 262}"
Can women legally drive in Qatar?,Yes.,6,short,"Women can legally drive in Qatar, whereas they may not in Saudi Arabia","Women can legally drive in Qatar, whereas they may not in Saudi Arabia. The final answer: yes.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia. The final answer: yes.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia. The final answer: yes.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.",women gained the right to vote,Qatar became the first Arab country in the Persian Gulf where women gained the right to vote. The answer: yes.,women gained the right to vote,"Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia. The final answer: yes.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia. The final answer: yes.","Women can legally drive in Qatar, whereas they may not in Saudi Arabia.","{'passage': 'When contrasted with other Arab states such as Saudi Arabia, for instance, Qatar has comparatively liberal laws, but is still not as liberal as some of its neighbours like UAE or Bahrain. Women can legally drive in Qatar, whereas they may not in Saudi Arabia.', 'id': 2582}"
What is the official language of Romania?,Romanian.,7,short,Romanian,Romanian.,Romanian,Romanian,Romanian.,Romanian,Romanian,Romanian.,Romanian,Romanian,Romanian.,Romanian,Romanian,Romanian.,Romanian,Romanian,Romanian.,Romanian,"{'passage': ""The official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province."", 'id': 3104}"
What is the most extensively celebrated holiday?,Christmas,7,short,Christmas,Christmas.,Christmas,Christmas,Christmas.,Christmas,Christmas,Christmas.,Christmas,Christmas,Christmas.,Christmas,Christmas,Christmas.,Christmas,Christmas,Christmas.,Christmas,"{'passage': ""All official holidays in Finland are established by acts of Parliament. The official holidays can be divided into Christian and secular holidays, although some of the Christian holidays have replaced holidays of pagan origin. The main Christian holidays are Christmas, Epiphany, Easter, Ascension Day, Pentecost, and All Saints Day. The secular holidays are New Year's Day, May Day, Midsummer Day, and the Independence Day. Christmas is the most extensively celebrated holiday: usually at least 23rd to 26th of December are holidays."", 'id': 1707}"
What animals are related to otters?,"weasels, polecats, and badgers",6,short,"weasels, polecats, badgers, as well as others","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","weasels, polecats, badgers","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","weasels, polecats, badgers","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","weasels, polecats, badgers, as well as others","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","weasels, polecats, badgers, as well as others","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","weasels, polecats, badgers","Weasels, polecats, badgers, as well as others.","Weasels, polecats, badgers, as well as others.","{'passage': 'Otters are amphibious (or in one case aquatic) carnivorous mammals.  The otter subfamily Lutrinae forms part of the family Mustelidae, which also includes weasels, polecats, badgers, as well as others. With 13 species in 7 genera, otters have an almost worldwide distribution.', 'id': 1913}"
When did James Monroe graduate from William and Mary?,1776,9,medium,1776,1776.,1776,1776,1776.,1776,1776,1776.,1776,1825,Final Answer: 1825.,1825,1776,1776.,1776,1776,1776.,1776,"{'passage': 'The Presidentâ\x80\x99s parents, father Spence Monroe (ca. 1727 1774), a woodworker and tobacco farmer, and mother Elizabeth Jones Monroe had significant land holdings but little money. Like his parents, he was a slaveholder. Born in Westmoreland County, Virginia, Monroe went to school at Campbelltown Academy and then the College of William and Mary, both in Virginia.  After graduating from William and Mary in 1776, Monroe fought in the Continental Army, serving with distinction at the Battle of Trenton, where he was shot in his left shoulder. He is depicted holding the flag in the famous painting of Washington Crossing the Delaware. Following his military service, he practiced law in Fredericksburg, Virginia. James Monroe married Elizabeth Kortright on February 16, 1786 at the Trinity Church in New York.', 'id': 2507}"
Is the Adephaga suborder larger than the Polyphaga suborder?,no,9,medium,Polyphaga,The Polyphaga suborder is larger than the Adephaga suborder. The Adephaga suborder is larger than the Polyphaga suborder. The final answer: yes.,Polyphaga,"Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively","The Adephaga suborder contains about 10 families of largely predatory beetles, including ground beetles (Carabidae), Dytiscidae and whirligig beetles (Gyrinidae). The final answer: yes.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively","The Adephaga suborder contains about 10 families of largely predatory beetles, including ground beetles (Carabidae), Dytiscidae and whirligig beetles (Gyrinidae). The final answer: yes.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.",Polyphaga,The Polyphaga suborder is larger than the Adephaga suborder. The Adephaga suborder is larger than the Polyphaga suborder. The final answer: yes.,Polyphaga,"Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively","The Adephaga suborder contains about 10 families of largely predatory beetles, including ground beetles (Carabidae), Dytiscidae and whirligig beetles (Gyrinidae). The final answer: yes.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively","The Adephaga suborder contains more than 300,000 described species in more than 170 families, including rove beetles (Staphylinidae), scarab beetles (Scarabaeidae), blister beetles (Meloidae), stag beetles (Lucanidae) and true weevils (Curculionidae). The final answer: yes.","Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.","{'passage': 'These suborders diverged in the Permian and Triassic. Their phylogenetic relationship is uncertain, with the most popular hypothesis being that Polyphaga and Myxophaga are most closely related, with Adephaga as the sister group to those two, and Archostemata as sister to the other three collectively.', 'id': 2422}"
What have been inhabited for millennia by aboriginal peoples?,The lands,9,medium,Canada,Canada.,Indigenous peoples,parts of Canada,"Archaeological studies support a human presence in northern Yukon from 26,500 years ago, and in southern Ontario from 9,500 years ago.",northern Yukon,The lands,The lands.,The lands,The lands,The lands.,The lands,The lands,The lands.,The lands,The lands,The lands.,The lands,"{'passage': 'The largest ethnic group is English (20.2%), followed by French (15.8%), Scottish (14.0%), Irish (12.9%), German (9.3%), Italian (4.3%), Chinese (3.7%), Ukrainian (3.6%), and First Nations (3.4%); 40% of respondents identified their ethnicity as ""Canadian.""    Canada\'s aboriginal population is growing almost twice as fast as the Canadian average. In 2001, 13.4% of the population belonged to non-aboriginal visible minorities.', 'id': 2344}"
What do economy and law have in common?,(not sure how to answer this),8,medium,links,The sentence is related to the passage. The final answer: links.,Law links.,links,The economic link between agriculture and the state-sector.,links,links,"The economy is largely based in agriculture (making up 10% of the GDP and the most substantial export) and the state-sector, and relies heavily on world trade. The answer: agriculture.",links,courts,The Commercial Court is the country's highest court. The Commercial Court is the country's highest court. The Commercial Court is the country's highest court. Final Answer: courts.,courts,links,Law is a concept that is derived from the law of nature. The final answer: law.,Law links,links,The gist of all policy is decided by the legislature.,links,"{'passage': 'Economy and law links', 'id': 3161}"
When did he vote for democrat james buchanan?,1856,8,medium,1856,1856.,1856,1856,In 1856.,1856,1856,In 1856.,1856,19,At 19,19,1856,At 19,19,19,At 19,19,"{'passage': ""The desire for reform, blunders on behalf of Blaine, and voters' demand for honesty turned the tide for Cleveland.  Cleveland's victory made him the first Democrat elected president since James Buchanan, who was elected in 1856."", 'id': 483}"
What method is used by Kangaroos to travel?,hopping,8,medium,hopping,Hoping. Hoping is a method of traveling at moderately high speed. Hoping is a method of traveling at moderately high speed. Final Answer: Hoping.,hopping,hopping,Hoping.,hopping,hopping,Hoping.,hopping,hopping,Hopping.,hopping,hopping,Hoping.,hopping,hopping,Hoping.,hopping,"{'passage': 'There is also a link between the hopping action and breathing: as the feet leave the ground, air is expelled from the lungs; bringing the feet forward ready for landing refills the lungs, providing further energy efficiency. Studies of kangaroos and wallabies have demonstrated that, beyond the minimum energy expenditure required to hop at all, increased speed requires very little extra effort (much less than the same speed increase in, say, a horse, dog or human), and that the extra energy is required to carry extra weight. For kangaroos, the key benefit of hopping is not speed to escape predators the top speed of a kangaroo is no higher than that of a similarly-sized quadruped, and the Australian native predators are in any case less fearsome than those of other continents but economy: in an infertile continent with highly variable weather patterns, the ability of a kangaroo to travel long distances at moderately high speed in search of food sources is crucial to survival.', 'id': 1752}"
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,8,medium,commission as ensign in the U.S. Naval Reserve,A commission as ensign in the U.S. Naval Reserve.,a commission as ensign in the U.S. Naval Reserve,commission as ensign in the U.S. Naval Reserve,A commission as ensign in the U.S. Naval Reserve.,a commission as ensign in the U.S. Naval Reserve,commission as ensign in the U.S. Naval Reserve,A commission as ensign in the U.S. Naval Reserve.,a commission as ensign in the U.S. Naval Reserve,a memorial service,A memorial service.,a memorial service,commission as ensign in the U.S. Naval Reserve,A commission as ensign in the U.S. Naval Reserve.,commission as ensign in the U.S. Naval Reserve,commission as ensign,A commission as ensign in the U.S. Naval Reserve.,commission as ensign in the U.S. Naval Reserve,"{'passage': 'Ford received a commission as ensign in the U.S. Naval Reserve on April 13, 1942. On April 20, he reported for active duty to the V-5 instructor school at Annapolis, Maryland. After one month of training, he went to Navy Preflight School in Chapel Hill, North Carolina, where he was one of 83 instructors and taught elementary seamanship, ordnance, gunnery, first aid and military drill. In addition, he coached in all nine sports that were offered, but mostly in swimming, boxing and football. During the one year he was at the Preflight School, he was promoted to Lieutenant Junior Grade on June 2, 1942, and to Lieutenant in March 1943.', 'id': 2011}"
Was Thedore Roosevelt  a member of the Republican Party?,Yes,9,medium,"Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal.","The sentence is true because Thedore Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator. The answer is yes.",Yes.,Roosevelt finally broke with Taft and LaFollette and announced himself as a candidate for the Republican nomination.,"Roosevelt was a Progressive reformer who sought to move the dominant Republican Party into the Progressive camp. He distrusted wealthy businessmen and dissolved forty monopolistic corporations as a ""trust buster"". Roosevelt beat Taft in the popular vote and pulled so many Progressives out of the Republican Party that Democrat Woodrow Wilson won in 1912, and the conservative faction took control of the Republican Party for the next two decades. The answer: yes.",Roosevelt was a Progressive reformer who sought to move the dominant Republican Party into the Progressive camp.,"Roosevelt was the twenty-sixth President of the United States, and a leader of the Republican Party and of the Progressive Movement. He became the youngest person ever to become President (John F. Kennedy is the youngest elected President).",Theodore Roosevelt was a member of the Republican Party. The final answer: yes.,Roosevelt was a Progressive reformer who sought to move the dominant Republican Party into the Progressive camp.,"Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal.","The sentence is true because Thedore Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator. The answer is yes.",Yes.,"Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal.","The relevant information to answer the above question is: Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal. The answer: yes.",he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine.,"Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator.","Theodore Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator. Theodore Roosevelt was the fifth Vice President to succeed to the office of President, but the first to win election in his own right. After Senator Mark Hanna, McKinley's old campaign manager, died in February 1904, there was no one in the Republican Party to oppose Roosevelt and he easily won the nomination.","Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator.","{'passage': 'Roosevelt was a Republican activist during his years in the Assembly, writing more bills than any other New York state legislator. Already a major player in state politics, he attended the Republican National Convention in 1884 and fought alongside the Mugwump reformers; they lost to the Stalwart faction that nominated James G. Blaine. Refusing to join other Mugwumps in supporting Democrat Grover Cleveland, the Democratic nominee, he stayed loyal.', 'id': 2893}"
Was the Bucharest Metro only opened in 1979 ?,Yes,9,medium,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979. Final Answer: yes.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979. Final Answer: yes.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,The Bucharest Metro was only opened in 1979.,"{'passage': 'Bucharest is the only city in Romania which has an underground railway system. The Bucharest Metro was only opened in 1979. Now is one of the most accessed systems of the Bucharest public transport network with an average ridership of 600,000 passengers during the workweek.', 'id': 3121}"
Are elephants the largest land animals alive today?,yes,8,medium,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The elephant may live as long as 70 years, sometimes longer. The largest elephant ever recorded was shot in Angola in 1956. The smallest elephants, about the size of a calf or a large pig, were a prehistoric species that lived on the island of Crete during the Pleistocene epoch. The answer: yes.",Yes.,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500âx80x936000 kg (6.1âx80x936.6 tons), the female being much smaller. The answer: yes.",Yes.,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500âx80x936000 kg (6.1âx80x936.6 tons), the female being much smaller. The answer: yes.",Yes.,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The elephant may live as long as 70 years, sometimes longer. The largest elephant ever recorded was shot in Angola in 1956. The smallest elephants, about the size of a calf or a large pig, were a prehistoric species that lived on the island of Crete during the Pleistocene epoch. The answer: yes.",Yes.,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The elephant may live as long as 70 years, sometimes longer. The elephant's gestation period is 22 months, the longest of any land animal. Final Answer: yes.",Yes.,yes,"The elephant's gestation period is 22 months, the longest of any land animal. The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500âx80x93600 kg (6.1âx80x936.6 tons). The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500âx80x93600 kg (6.1âx80x936.6 tons). Final Answer: yes.",Yes.,"{'passage': ""Elephants are mammals, and the largest land animals alive today.    The elephant's gestation period is 22 months, the longest of any land animal. At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).  An elephant may live as long as 70 years, sometimes longer. The largest elephant ever recorded was shot in Angola in 1956. This male weighed about 12,000 kg (26,400 lb),    with a shoulder height of 4.2 m (13.8 ft), a metre (3 ft 4 in) taller than the average male African elephant.    The smallest elephants, about the size of a calf or a large pig, were a prehistoric species that lived on the island of Crete during the Pleistocene epoch. Bate, D.M.A. 1907. On Elephant Remains from Crete, with Description of Elephas creticus sp.n. Proc. zool. Soc. London: 238-250."", 'id': 1177}"
What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,8,medium,"""carefree, well-to-do man""","Carefree, well-to-do man.","Carefree, well-to-do man","""carefree, well-to-do man""","Carefree, well-to-do man.","Carefree, well-to-do man","""carefree, well-to-do man""","He described his biological father as a ""carefree, well-to-do man"". The answer: a ""carefree, well-to-do man"".","""carefree, well-to-do man""","""carefree, well-to-do man""","Carefree, well-to-do man.","Carefree, well-to-do man","""carefree, well-to-do man""","He described him as a ""carefree, well-to-do man"". The final answer: a ""carefree, well-to-do man"".","carefree, well-to-do man","carefree, well-to-do man","He described his biological father as a ""carefree, well-to-do man"". The answer: a ""carefree, well-to-do man"".","""carefree, well-to-do man""","{'passage': 'Ford was not aware of his biological parentage until he was 17, when his parents told him about the circumstances of his birth. That same year his biological father, whom he described as a ""carefree, well-to-do man"", approached Ford while he was waiting tables in a Grand Rapids restaurant. The two ""maintained a sporadic contact"" until Leslie King, Sr.\'s death, Associated Press. Nebraska - Born, Ford Left State As Infant. The New York Times (December 27, 2006).  Retrieved on December 31, 2006.     but Ford maintained his distance emotionally, saying, ""My stepfather was a magnificent person and my mother equally wonderful. So I couldn\'t have written a better prescription for a superb family upbringing.""', 'id': 1999}"
Does the native pronunciation of Qatar sound like 'cutter'?,Yes.,9,medium,"An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The word 'Qatara' first appeared on Ptolemy's map of the Arabian Peninsula. An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The word 'Qatara' first appeared on Ptolemy's map of the Arabian Peninsula. An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'. The answer: no.","An approximation of the native pronunciation falls between the English words 'cutter' and 'gutter', but not like 'guitar'.","{'passage': 'Other sources say the name may derive from ""Qatara"", believed to refer to the Qatari town of Zubara, an important trading port and town in the region in ancient times. The word ""Qatara"" first appeared on Ptolemy\'s map of the Arabian Peninsula. An approximation of the native pronunciation falls between the English words \'cutter\' and \'gutter\', but not like \'guitar\'.', 'id': 2540}"
